id,generated_id,voted_for,category,voted_id
6678,7nkiqatu02,ISARITO MWAKALINDILIE - OBAMBO,Best Actor,
6679,qrhte5zn80,JOTI,Best Comedian,
6680,8ndkxql9bp,ISARITO MWAKALINDILIE - OBAMBO,Best Actor,
6681,zckyhm4h2a,IRENE UWOYA  (NATALIA) - HAIKUFUMA,Best Actress Audience Choice,
6682,7ot2l5klp6,MOHAMEDY KINGARA (IDDY KAPALATA) - JUA KALI,Best Actor Audience Choice,
6683,6t4fs7iesh,GODLIVER GODIAN - JUA KALI,Best Actress,
6684,3uwfbep8xp,GODLIVER GODIAN - JUA KALI,Best Actress,
6685,yg5qdsdtwq,AHADI,Best Series,
6686,e1fh9etmm7,BRENDA MALEMBEKA - BANTU,Best Upcoming Actress,
6687,nh33jrqsmd,AHADI,Best Series,
6688,g14p7grlxz,NEST DANIEL- OBAMBO,Best Supporting Actor,
6689,1r3lqkqlmt,JUA KALI,Best Series,
6690,eja53jdgv2,JUA KALI,Best Series,
6691,mgsfktqeps,MARIA MDEE A.K.A MIMI MARS  (MARIA GEORGE) - JUA KALI,Best Actress Audience Choice,
6692,6t4fs7iesh,ISARITO MWAKALINDILIE - OBAMBO,Best Actor,
6693,1aquvgv35j,AHADI,Best Series,
6694,kwjwoztf1l,SALUNI YA MAMA KIMBO,Best Comedy,
6695,uzbd4e4bdr,BRENDA MALEMBEKA - BANTU,Best Upcoming Actress,
6696,vz64n5ft6i,MARIA MDEE A.K.A MIMI MARS  (MARIA GEORGE) - JUA KALI,Best Actress Audience Choice,
6697,kahq4jzd2o,SALUNI YA MAMA KIMBO,Best Series Comedy(online ,
6698,64c5rajqlm,JUA KALI,Best Series,
6699,qbp0ny5bnh,MARIA MDEE A.K.A MIMI MARS  (MARIA GEORGE) - JUA KALI,Best Actress Audience Choice,
6700,mmtqkjqzeg,GODLIVER GODIAN - JUA KALI,Best Actress,
6701,3uwfbep8xp,HELLEN HERMAN - JUA KALI,Best Supporting Actress,
6702,8ndkxql9bp,JOTI,Best Comedian,
6703,jnly3xf3e7,JACOB STEVEN (JB) - SLAY QUEEN,Best Actor,
6704,d9n6678ho7,JUA KALI,Best Series,
6705,eja53jdgv2,KITIMTIM,Best Comedy,
6706,zckyhm4h2a,ISARITO MWAKALINDILE (OBAMB0) - OBAMBO,Best Actor Audience Choice,
6707,qefbqeoyng,JUA KALI,Best Series,
6708,tko14562o2,PROFESA MAFINGO,Best Comedian,
6709,cp6e3dur9c,ISARITO MWAKALINDILE  - JANGA,Best Supporting Actor,
6710,vz64n5ft6i,JUA KALI,Best Series,
6711,rgrj5bqyx5,BEATRICE TAISAMO - HAIKUFUMA,Best Supporting Actress,
6712,dki8726j66,MARRY MTEMI (MALKIA SHEBA) - BANTU,Best Actress Audience Choice,
6713,rnuqem9fw6,BRENDA MALEMBEKA - BANTU,Best Upcoming Actress,
6714,3uwfbep8xp,ISARITO MWAKALINDILE  - JANGA,Best Supporting Actor,
6715,pewb1v7fww,AHADI,Best Series,
6716,zcfxiz0ux0,IRENE UWOYA  (NATALIA) - HAIKUFUMA,Best Actress Audience Choice,
6717,eja53jdgv2,KITIMTIM,Best Series Comedy(online ,
6718,3l42xo66tz,EMMANUEL GEMBE - MWANDISHI,Best Upcoming Actor,
6719,mgsfktqeps,GODLIVER GODIAN - JUA KALI,Best Actress,
6720,bpz5s2tkk3,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
6721,qbp0ny5bnh,JUA KALI,Best Series,
6722,vl6zhy1f17,ISARITO MWAKALINDILE (OBAMB0) - OBAMBO,Best Actor Audience Choice,
6723,mmtqkjqzeg,JUA KALI,Best Series,
6724,7ot2l5klp6,MARIA MDEE A.K.A MIMI MARS  (MARIA GEORGE) - JUA KALI,Best Actress Audience Choice,
6725,8ndkxql9bp,SADAM NAWANDA - HAIKUFUMA,Best Upcoming Actor,
6726,jnly3xf3e7,GODLIVER GODIAN - JUA KALI,Best Actress,
6727,9v8okdcexz,JAMBO NA VIJAMBO,Best Series Comedy(online ,
6728,9uiy316tx7,MARIAM RABII (WINNIE) - AHADI,Best Actress Audience Choice,
6729,3s8sf3tzvy,SADAM NAWANDA - HAIKUFUMA,Best Upcoming Actor,
6730,7g0wvne5hv,BEATRICE TAISAMO - HAIKUFUMA,Best Supporting Actress,
6731,hm0t35xup6,EMMANUEL GEMBE - MWANDISHI,Best Upcoming Actor,
6732,6dbgtj0a1u,BRENDA MALEMBEKA - BANTU,Best Upcoming Actress,
6733,3mjpv0u4gg,ISARITO MWAKALINDILE  - JANGA,Best Supporting Actor,
6734,zckyhm4h2a,HAIKUFUMA,Best Series,
6735,7ot2l5klp6,JUA KALI,Best Series,
6736,64c5rajqlm,SALUM AHMEDI  - KESHO,Best Actor,
6737,83npf7gorn,AHADI,Best Series,
